TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
3.5,,109.8630295,-13.21208477,96.66770172,-12.19386482,87.34889984,-6.413218021,77.35186005,0.527718604,66.51057434,4.656056404
3.666666667,,110.7133102,-11.07141018,97.63272858,-9.929381371,88.37731934,-4.132558823,78.35864258,2.758886576,67.44193268,6.756530285
3.833333333,,111.5885468,-8.942885399,98.60339355,-7.670011997,89.40020752,-1.850755453,79.34929657,4.998082161,68.34461975,8.871029854
4,6,112.4904861,-6.827379704,99.58258057,-5.416446209,90.42080688,0.431468606,80.32666779,7.244523048,69.22048187,10.99859715
4.166666667,,113.4209824,-4.725848198,100.5731583,-3.169423103,91.44239044,2.713406086,81.29358673,9.497469902,70.07131195,13.13836098
4.333333333,,114.3820267,-2.63928628,101.5780258,-0.929686844,92.46819305,4.994310856,82.25286865,11.75622368,70.89873505,15.28952885
4.5,,115.3757019,-0.568786383,102.6001434,1.301958442,93.50152588,7.273441792,83.20733643,14.0201149,71.7043457,17.45134354
4.666666667,,116.4042206,1.484434724,103.64254,3.52460885,94.545784,9.550057411,84.15988922,16.28849792,72.48961639,19.62308502
4.833333333,,117.4699707,3.51911068,104.7083893,5.737371922,95.60444641,11.82334518,85.11348724,18.56074142,73.2559967,21.80415154
5,7,118.5754318,5.53384304,105.800972,7.939218998,96.68120575,14.09247112,86.07125092,20.83623505,74.00484467,23.9939003
5.166666667,,119.723259,7.527096272,106.9237671,10.1290369,97.77996063,16.35656738,87.03645325,23.11434174,74.73744202,26.19177437
5.333333333,,120.9162827,9.497237206,108.0804749,12.30564404,98.90484619,18.61465836,88.01259613,25.39444542,75.45507813,28.39726448
5.5,,122.1574707,11.44247246,109.2749939,14.46772003,100.0603485,20.8657093,89.003479,27.67590523,76.15895081,30.60985756
5.666666667,,123.4499512,13.3608408,110.5115433,16.61379814,101.2513275,23.10861206,90.01326752,29.95805359,76.85028839,32.82909775
5.833333333,,124.7970276,15.25022316,111.7946243,18.74229622,102.4830933,25.34207726,91.04656982,32.24019623,77.53024292,35.0545578
6,8,126.2021637,17.10833359,113.1291046,20.85144043,103.7614975,27.56473541,92.10852814,34.52155685,78.20001984,37.28582382
6.166666667,,127.6689301,18.93265343,114.5202255,22.93924522,105.0930252,29.77502823,93.20501709,36.8013382,78.86078644,39.52249527
6.333333333,,129.2010651,20.72046089,115.9736557,25.00353813,106.4848938,31.9711895,94.34269714,39.07862854,79.51377106,41.76423645
6.5,,130.8023834,22.46882248,117.4955292,27.04186821,107.9451752,34.1512146,95.52931213,41.35239792,80.16023254,44.01067352
6.666666667,,132.4767914,24.17455292,119.0924988,29.05152702,109.4829559,36.31283188,96.77389526,43.62148285,80.8015213,46.26150513
6.833333333,,134.2281799,25.83420563,120.771698,31.02944946,111.1084824,38.45344162,98.08712006,45.88457108,81.43907166,48.51639938
7,9,136.0603943,27.44406128,122.5408325,32.97222137,112.833313,40.57000732,99.48165894,48.14006042,82.07448578,50.77507401
7.166666667,,137.9771576,29.00015259,124.4081726,34.87603378,114.6705322,42.65902328,100.9727707,50.38605118,82.70955658,53.03723907
7.333333333,,139.9819641,30.49821854,126.3824768,36.73660278,116.6350021,44.71643066,102.5790329,52.62029648,83.34638214,55.30260468
7.5,,142.0779724,31.93371964,128.4730225,38.5491333,118.7434845,46.73745346,104.323204,54.83998871,83.98744965,57.5709343
7.666666667,,144.2677917,33.3018837,130.6894531,40.3082962,121.0148926,48.71650696,106.2334976,57.04163742,84.63582611,59.84194565
7.833333333,,146.5534515,34.59768677,133.0416718,42.00812149,123.4704971,50.64703751,108.345253,59.22088242,85.29534912,62.11537933
8,10,148.9360657,35.81589508,135.5395203,43.64199448,126.1338348,52.52131653,110.7030487,61.37207031,85.97106171,64.39099884
8.166666667,,151.4157257,36.95114136,138.1925812,45.20264435,129.0307312,54.33026123,113.3636627,63.48787308,86.6697464,66.66854858
8.333333333,,153.991333,37.99797058,141.0096283,46.68206787,132.1888123,56.06324387,116.3999023,65.5586319,87.40090942,68.94772339
8.5,,156.6602783,38.95090866,143.9980774,48.07159805,135.636673,57.70783615,119.9051743,67.5714035,88.17844391,71.22827148
8.666666667,,159.4183807,39.80459213,147.1633148,49.36196518,139.4022217,59.24966431,123.9989166,69.50862122,89.02366638,73.50982666
8.833333333,,162.2597198,40.5538559,150.507782,50.54336929,143.5104675,60.67238617,128.8312073,71.34632874,89.97129822,75.7919693
9,11,165.1765137,41.19387436,154.0301361,51.60570145,147.97966,61.95769882,134.5828247,73.05170441,91.08227539,78.07411194
9.166666667,,168.1591949,41.72029114,157.7242737,52.53879547,152.8168793,63.08578491,141.4521027,74.5803833,92.47471619,80.35526276
9.333333333,,171.1964874,42.12934494,161.5785217,53.33273697,158.0124817,64.03603363,149.6136627,75.8746109,94.41197205,82.63343811
9.5,,174.2755127,42.41799545,165.5750885,53.97828674,163.5349579,64.78824615,159.1289825,76.86459351,97.62432098,84.90351868
9.666666667,,177.3822937,42.58404541,169.6900024,54.46733856,169.3273926,65.32421875,169.8183899,77.47775269,105.1251221,87.14451599
9.833333333,,180.5019379,42.626194,173.8934631,54.79334641,175.3076019,65.62963104,181.1742859,77.65770721,149.2115936,89.09967041
10,12,183.618988,42.54411316,178.1509857,54.95174408,181.3741455,65.69577789,192.4506531,77.385849,247.4667053,88.01333618
10.16666667,,186.7184753,42.33844757,182.4252014,54.94026184,187.4155426,65.52069092,202.9296265,76.68990326,260.2634583,85.80934906
10.33333333,,189.7855682,42.01078796,186.6777191,54.75905609,193.3224945,65.10949707,212.171936,75.63145447,264.5270081,83.54627991
10.5,,192.8066101,41.56362534,190.8711395,54.4107399,199.0015259,64.47361755,220.0579224,74.28375244,266.8370056,81.27037811
10.66666667,,195.7692719,41.00022507,194.9717102,53.90014648,204.381546,63.62937927,226.6819458,72.7145462,268.4024658,78.99008179
10.83333333,,198.6627655,40.3245697,198.9503326,53.23406982,209.4174652,62.59609604,232.2289124,70.97882843,269.6071472,76.70819855
11,13,201.4780731,39.54117966,202.783844,52.42079926,214.0882416,61.39432144,236.895874,69.1183548,270.6108398,74.42596436
11.16666667,,204.2080688,38.65499878,206.4553528,51.46968079,218.392395,60.04446793,240.8576813,67.16392517,271.4919434,72.14411163
11.33333333,,206.8473816,37.67126465,209.9539642,50.39067841,222.342804,58.56568909,244.2579193,65.13800049,272.2934875,69.86312103
11.5,,209.392334,36.59540939,213.274231,49.1939888,225.9612732,56.97544479,247.2102051,63.05706406,273.0412903,67.58335876
11.66666667,,211.8408508,35.43288422,216.41539,47.88968277,229.2744293,55.28920746,249.8033447,60.93330765,273.7516785,65.30511475
