x,AM0,AM0C,AM15,AM15C,
862,1.01E+00,935.8793679,9.24E-01,595.6435316,\\
863,1.01E+00,936.8893679,9.29E-01,596.5725316,\\
864,9.90E-01,937.8793679,9.10E-01,597.4825316,\\
865,9.74E-01,938.8533679,8.95E-01,598.3775316,\\
866,8.58E-01,939.7113679,7.89E-01,599.1665316,\\
867,9.25E-01,940.6363679,8.51E-01,600.0175316,\\
868,9.69E-01,941.6053679,8.91E-01,600.9085316,\\
869,9.59E-01,942.5643679,8.83E-01,601.7915316,\\
870,9.77E-01,943.5413679,8.99E-01,602.6905316,\\
871,9.63E-01,944.5043679,8.87E-01,603.5775316,\\
872,9.76E-01,945.4803679,8.99E-01,604.4765316,\\
873,9.66E-01,946.4463679,8.90E-01,605.3665316,\\
874,9.49E-01,947.3953679,8.75E-01,606.2415316,\\
875,9.36E-01,948.3313679,8.62E-01,607.1035316,\\
876,9.62E-01,949.2933679,8.86E-01,607.9895316,\\
877,9.65E-01,950.2583679,8.89E-01,608.8785316,\\
878,9.62E-01,951.2203679,8.86E-01,609.7645316,\\
879,9.46E-01,952.1663679,8.71E-01,610.6355316,\\
880,9.49E-01,953.1153679,8.74E-01,611.5095316,\\
881,9.20E-01,954.0353679,8.46E-01,612.3555316,\\
882,9.44E-01,954.9793679,8.68E-01,613.2235316,\\
883,9.39E-01,955.9183679,8.65E-01,614.0885316,\\
884,9.44E-01,956.8623679,8.69E-01,614.9575316,\\
885,9.55E-01,957.8173679,8.79E-01,615.8365316,\\
886,9.26E-01,958.7433679,8.45E-01,616.6815316,\\
887,9.23E-01,959.6663679,8.48E-01,617.5295316,\\
888,9.41E-01,960.6073679,8.59E-01,618.3885316,\\
889,9.44E-01,961.5513679,8.70E-01,619.2585316,\\
890,9.42E-01,962.4933679,8.61E-01,620.1195316,\\
891,9.39E-01,963.4323679,8.63E-01,620.9825316,\\
892,9.33E-01,964.3653679,8.47E-01,621.8295316,\\
893,9.18E-01,965.2833679,8.14E-01,622.6435316,\\
894,9.24E-01,966.2073679,7.94E-01,623.4375316,\\
895,9.26E-01,967.1333679,7.60E-01,624.1975316,\\
896,9.34E-01,968.0673679,7.13E-01,624.9105316,\\
897,9.27E-01,968.9943679,6.23E-01,625.5335316,\\
898,9.24E-01,969.9183679,6.71E-01,626.2045316,\\
899,9.14E-01,970.8323679,5.15E-01,626.7195316,\\
900,9.14E-01,971.7463679,6.94E-01,627.4135316,\\
901,8.98E-01,972.6443679,5.62E-01,627.9755316,\\
902,8.77E-01,973.5213679,6.25E-01,628.6005316,\\
903,9.22E-01,974.4433679,6.45E-01,629.2455316,\\
904,9.21E-01,975.3643679,7.89E-01,630.0345316,\\
905,9.18E-01,976.2823679,7.63E-01,630.7975316,\\
906,9.08E-01,977.1903679,7.25E-01,631.5225316,\\
907,9.15E-01,978.1053679,5.98E-01,632.1205316,\\
908,9.01E-01,979.0063679,6.11E-01,632.7315316,\\
909,8.86E-01,979.8923679,6.59E-01,633.3905316,\\
910,8.95E-01,980.7873679,5.86E-01,633.9765316,\\
911,8.97E-01,981.6843679,6.26E-01,634.6025316,\\
912,8.90E-01,982.5743679,6.45E-01,635.2475316,\\
913,9.00E-01,983.4743679,5.89E-01,635.8365316,\\
