TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
13.5,,232.7416687,18.4397583,241.4754333,28.96377182,253.1892548,33.29401398,267.4486084,36.4159317,280.8542175,40.46571732
14,14,236.9120178,12.84127617,246.0122986,22.82219315,257.2626648,26.67362022,270.5897217,29.57095528,282.8536987,33.76511383
14.5,,240.5983276,6.986292839,249.9938049,16.47331619,260.8873901,19.95134735,273.5335999,22.72939873,284.9508057,27.11898041
15,15,243.8840332,0.926606953,253.5622864,9.969834328,264.2164612,13.16298294,276.390686,15.90901184,287.1780701,20.53956032
15.5,,246.8399353,-5.297401905,256.8317261,3.350553989,267.3677979,6.335416794,279.2485657,9.126536369,289.5704346,14.04172516
16,16,249.5252686,-11.65409851,259.8966064,-3.355060101,270.4393921,-0.50930661,282.1848755,2.399679422,292.1676941,7.643848896
16.5,,251.9897156,-18.11852455,262.8399658,-10.12367725,273.5205994,-7.351202965,285.2760925,-4.251102448,295.016449,1.368868351
17,17,254.2754669,-24.670784,265.7408142,-16.93577576,276.7015686,-14.17002964,288.6048584,-10.80069447,298.1720581,-4.754257679
17.5,,256.4191589,-31.29483032,268.6820374,-23.77366447,280.0830078,-20.94289398,292.2668762,-17.21683121,301.7007446,-10.68865299
18,18,258.4541931,-37.97752762,271.7605591,-30.61958694,283.7877197,-27.64131927,296.3781433,-23.45668221,305.6811523,-16.38705635
18.5,,260.413269,-44.70801544,275.1026001,-37.45333481,287.9767761,-34.22685623,301.0828857,-29.46211243,310.2044983,-21.78882599
19,19,262.3326111,-51.47705078,278.8894348,-44.24860382,292.8729248,-40.64417648,306.5605164,-35.15292358,315.3720398,-26.81647873
19.5,,264.2600403,-58.27666473,283.4060364,-50.96624756,298.7950439,-46.80926895,313.0269165,-40.41793442,321.2863159,-31.3724556
20,20,266.2752991,-65.09963989,289.1394043,-57.54035568,306.2033386,-52.5892868,320.7191162,-45.10474396,328.0322266,-35.33760452
20.5,,268.554657,-71.93882751,296.9893799,-63.84573364,315.7324829,-57.76939774,329.8406982,-49.01257706,335.6445923,-38.57416916
21,21,271.6713257,-78.78478241,308.7079468,-69.61550903,328.1110229,-62.00865936,340.4437256,-51.89946747,344.0643311,-40.93702316
21.5,,279.6844788,-85.60358429,327.4483337,-74.2355423,343.7045898,-64.82279968,352.2637939,-53.52116394,353.1003418,-42.29564667
22,22,287.1126404,-87.32666016,355.5766602,-76.46173096,358.4327698,-65.70872498,355.362915,-53.70712662,357.571167,-42.56339645
22.5,,272.8441772,-80.55171967,334.4525146,-75.16997528,340.8140259,-64.46425629,343.3266602,-52.43597031,348.3476563,-41.7220726
23,23,269.2350159,-73.70678711,313.0898438,-71.06866455,325.7549438,-61.36671066,332.3763428,-49.84621811,339.5990601,-39.82759857
23.5,,266.82724,-66.86473083,299.7805786,-65.53651428,313.9121704,-56.93492889,322.8768616,-46.1717453,331.5837708,-36.9931221
