P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
450,12.477,68.84,87.71,106.58,125.45,144.32,163.19,182.06,200.93,219.8,238.67,257.54,0.26478,0.33084,0.3969,0.46296,0.52902,0.59508,0.66114,0.7272,0.79326,0.85932,0.92538
460,13.15,69.77,88.584,107.398,126.212,145.026,163.84,182.654,201.468,220.282,239.096,257.91,0.26798,0.33369,0.3994,0.46511,0.53082,0.59653,0.66224,0.72795,0.79366,0.85937,0.92508
470,13.811,70.68,89.44,108.2,126.96,145.72,164.48,183.24,202,220.76,239.52,258.28,0.27118,0.33655,0.40192,0.46729,0.53266,0.59803,0.6634,0.72877,0.79414,0.85951,0.92488
480,14.463,71.58,90.285,108.99,127.695,146.4,165.105,183.81,202.515,221.22,239.925,258.63,0.27428,0.33931,0.40434,0.46937,0.5344,0.59943,0.66446,0.72949,0.79452,0.85955,0.92458
490,15.104,72.47,91.121,109.772,128.423,147.074,165.725,184.376,203.027,221.678,240.329,258.98,0.27728,0.34198,0.40668,0.47138,0.53608,0.60078,0.66548,0.73018,0.79488,0.85958,0.92428
500,15.735,73.35,91.947,110.544,129.141,147.738,166.335,184.932,203.529,222.126,240.723,259.32,0.28028,0.34466,0.40904,0.47342,0.5378,0.60218,0.66656,0.73094,0.79532,0.8597,0.92408
510,16.356,74.22,92.764,111.308,129.852,148.396,166.94,185.484,204.028,222.572,241.116,259.66,0.28328,0.34733,0.41138,0.47543,0.53948,0.60353,0.66758,0.73163,0.79568,0.85973,0.92378
520,16.969,75.07,93.562,112.054,130.546,149.038,167.53,186.022,204.514,223.006,241.498,259.99,0.28618,0.34992,0.41366,0.4774,0.54114,0.60488,0.66862,0.73236,0.7961,0.85984,0.92358
530,17.572,75.91,94.35,112.79,131.23,149.67,168.11,186.55,204.99,223.43,241.87,260.31,0.28908,0.35251,0.41594,0.47937,0.5428,0.60623,0.66966,0.73309,0.79652,0.85995,0.92338
540,18.167,76.75,95.138,113.526,131.914,150.302,168.69,187.078,205.466,223.854,242.242,260.63,0.29188,0.355,0.41812,0.48124,0.54436,0.60748,0.6706,0.73372,0.79684,0.85996,0.92308
