days,T,bt15_5,bt18_5
11.625,10.71666667,15.5,18.5
11.66666667,10.6,15.5,18.5
11.70833333,10.33333333,15.5,18.5
11.75,10.26666667,15.5,18.5
11.79166667,10.25,15.5,18.5
11.83333333,10.11666667,15.5,18.5
11.875,9.25,15.5,18.5
11.91666667,7.933333333,15.5,18.5
11.95833333,8,15.5,18.5
12,7.25,15.5,18.5
12.04166667,6.933333333,15.5,18.5
12.08333333,6.8,15.5,18.5
12.125,6.183333333,15.5,18.5
12.16666667,7.9,15.5,18.5
12.20833333,10.83333333,15.5,18.5
12.25,9.216666667,15.5,18.5
12.29166667,7,15.5,18.5
12.33333333,6.583333333,15.5,18.5
12.375,9.166666667,15.5,18.5
12.41666667,9.9,15.5,18.5
12.45833333,9.95,15.5,18.5
12.5,8.366666667,15.5,18.5
12.54166667,7.416666667,15.5,18.5
12.58333333,5.2,15.5,18.5
12.625,6.383333333,15.5,18.5
12.66666667,6.483333333,15.5,18.5
12.70833333,6.133333333,15.5,18.5
12.75,6.15,15.5,18.5
12.79166667,6.616666667,15.5,18.5
12.83333333,6.75,15.5,18.5
12.875,6.6,15.5,18.5
12.91666667,6.683333333,15.5,18.5
12.95833333,6.716666667,15.5,18.5
13,7.033333333,15.5,18.5
13.04166667,7.25,15.5,18.5
13.08333333,7.316666667,15.5,18.5
13.125,7.3,15.5,18.5
13.16666667,8.433333333,15.5,18.5
13.20833333,10.95,15.5,18.5
13.25,12.7,15.5,18.5
13.29166667,12.13333333,15.5,18.5
13.33333333,12.58333333,15.5,18.5
13.375,11.41666667,15.5,18.5
13.41666667,9.083333333,15.5,18.5
13.45833333,9.616666667,15.5,18.5
13.5,10.01666667,15.5,18.5
13.54166667,9.5,15.5,18.5
13.58333333,8.883333333,15.5,18.5
13.625,8.316666667,15.5,18.5
13.66666667,8.15,15.5,18.5
13.70833333,8.266666667,15.5,18.5
13.75,8.3,15.5,18.5
13.79166667,8.45,15.5,18.5
13.83333333,8.633333333,15.5,18.5
13.875,8.816666667,15.5,18.5
13.91666667,9.133333333,15.5,18.5
13.95833333,9.483333333,15.5,18.5
14,9.8,15.5,18.5
14.04166667,9.683333333,15.5,18.5
14.08333333,9.716666667,15.5,18.5
14.125,9.583333333,15.5,18.5
14.16666667,9.666666667,15.5,18.5
14.20833333,10.16666667,15.5,18.5
14.25,12.43333333,15.5,18.5
14.29166667,14.28333333,15.5,18.5
14.33333333,14.63333333,15.5,18.5
14.375,13.75,15.5,18.5
14.41666667,13.01666667,15.5,18.5
14.45833333,14.95,15.5,18.5
14.5,14.66666667,15.5,18.5
14.54166667,12.45,15.5,18.5
14.58333333,10.51666667,15.5,18.5
14.625,9.383333333,15.5,18.5
14.66666667,8.766666667,15.5,18.5
14.70833333,8.483333333,15.5,18.5
14.75,8.55,15.5,18.5
14.79166667,8.066666667,15.5,18.5
14.83333333,8.5,15.5,18.5
14.875,8.633333333,15.5,18.5
14.91666667,8.7,15.5,18.5
14.95833333,9.116666667,15.5,18.5
15,9.183333333,15.5,18.5
15.04166667,9.416666667,15.5,18.5
15.08333333,9.533333333,15.5,18.5
15.125,9.616666667,15.5,18.5
15.16666667,9.95,15.5,18.5
15.20833333,10.36666667,15.5,18.5
15.25,11.01666667,15.5,18.5
15.29166667,11.31666667,15.5,18.5
15.33333333,12.01666667,15.5,18.5
15.375,12.4,15.5,18.5
15.41666667,12.68333333,15.5,18.5
15.45833333,12.13333333,15.5,18.5
15.5,11.6,15.5,18.5
15.54166667,11.36666667,15.5,18.5
15.58333333,11.41666667,15.5,18.5
15.625,10.96666667,15.5,18.5
15.66666667,10.6,15.5,18.5
15.70833333,10.65,15.5,18.5
15.75,10.61666667,15.5,18.5
15.79166667,10.36666667,15.5,18.5
15.83333333,10,15.5,18.5
15.875,9.7,15.5,18.5
15.91666667,9.283333333,15.5,18.5
15.95833333,9.15,15.5,18.5
16,9.1,15.5,18.5
16.04166667,9.133333333,15.5,18.5
16.08333333,9.15,15.5,18.5
16.125,9.2,15.5,18.5
16.16666667,9.333333333,15.5,18.5
16.20833333,9.75,15.5,18.5
16.25,10.73333333,15.5,18.5
16.29166667,12.61666667,15.5,18.5
16.33333333,13.28333333,15.5,18.5
16.375,13.26666667,15.5,18.5
16.41666667,12.2,15.5,18.5
16.45833333,12.56666667,15.5,18.5
16.5,12.4,15.5,18.5
16.54166667,12.11666667,15.5,18.5
16.58333333,11.2,15.5,18.5
16.625,10.58333333,15.5,18.5
16.66666667,10.18333333,15.5,18.5
16.70833333,9.95,15.5,18.5
16.75,9.833333333,15.5,18.5
16.79166667,9.716666667,15.5,18.5
16.83333333,9.6,15.5,18.5
16.875,9.416666667,15.5,18.5
16.91666667,9.233333333,15.5,18.5
16.95833333,9.2,15.5,18.5
17,9.266666667,15.5,18.5
17.04166667,8.783333333,15.5,18.5
17.08333333,8.533333333,15.5,18.5
17.125,8.483333333,15.5,18.5
17.16666667,8.566666667,15.5,18.5
17.20833333,9.133333333,15.5,18.5
17.25,10.5,15.5,18.5
17.29166667,11.3,15.5,18.5
17.33333333,11.48333333,15.5,18.5
17.375,14.95,15.5,18.5
17.41666667,14.8,15.5,18.5
17.45833333,12.21666667,15.5,18.5
17.5,11.2,15.5,18.5
17.54166667,10.75,15.5,18.5
17.58333333,10.46666667,15.5,18.5
17.625,10.1,15.5,18.5
17.66666667,9.883333333,15.5,18.5
17.70833333,9.7,15.5,18.5
17.75,9.25,15.5,18.5
17.79166667,9.25,15.5,18.5
17.83333333,9.65,15.5,18.5
17.875,10,15.5,18.5
17.91666667,9.766666667,15.5,18.5
17.95833333,9.585714286,15.5,18.5
18,9.42,15.5,18.5
18.04166667,9.1,15.5,18.5
18.08333333,8.8,15.5,18.5
18.125,8.56,15.5,18.5
18.16666667,8.757142857,15.5,18.5
18.20833333,11.75,15.5,18.5
18.25,14.43333333,15.5,18.5
18.29166667,18.01666667,15.5,18.5
18.33333333,18.73333333,15.5,18.5
18.375,17.8,15.5,18.5
18.41666667,16.95,15.5,18.5
18.45833333,16.55,15.5,18.5
18.5,15.98333333,15.5,18.5
18.54166667,14.46666667,15.5,18.5
18.58333333,11.53333333,15.5,18.5
18.625,9.766666667,15.5,18.5
18.66666667,8.7,15.5,18.5
18.70833333,8.3,15.5,18.5
18.75,8.116666667,15.5,18.5
18.79166667,8.033333333,15.5,18.5
18.83333333,7.866666667,15.5,18.5
18.875,7.6,15.5,18.5
18.91666667,6.866666667,15.5,18.5
18.95833333,6.416666667,15.5,18.5
19,6.3,15.5,18.5
19.04166667,5.433333333,15.5,18.5
19.08333333,5.366666667,15.5,18.5
19.125,5.116666667,15.5,18.5
19.16666667,5.4,15.5,18.5
19.20833333,11.45,15.5,18.5
19.25,20.91666667,15.5,18.5
19.29166667,24.63333333,15.5,18.5
19.33333333,23.36666667,15.5,18.5
19.375,22.23333333,15.5,18.5
19.41666667,21.55,15.5,18.5
19.45833333,21.6,15.5,18.5
19.5,20.78333333,15.5,18.5
19.54166667,18.95,15.5,18.5
19.58333333,13.98333333,15.5,18.5
19.625,11.03333333,15.5,18.5
19.66666667,9.1,15.5,18.5
19.70833333,8.116666667,15.5,18.5
19.75,7.566666667,15.5,18.5
19.79166667,7.483333333,15.5,18.5
19.83333333,6.833333333,15.5,18.5
19.875,6.016666667,15.5,18.5
19.91666667,6.533333333,15.5,18.5
19.95833333,6.45,15.5,18.5
20,5.983333333,15.5,18.5
20.04166667,5.666666667,15.5,18.5
20.08333333,5.783333333,15.5,18.5
20.125,5.866666667,15.5,18.5
20.16666667,6.066666667,15.5,18.5
20.20833333,9.65,15.5,18.5
20.25,13.83333333,15.5,18.5
20.29166667,18.03333333,15.5,18.5
20.33333333,19.4,15.5,18.5
20.375,20.18333333,15.5,18.5
20.41666667,20.18333333,15.5,18.5
20.45833333,21.58333333,15.5,18.5
20.5,22.78333333,15.5,18.5
20.54166667,16.76666667,15.5,18.5
20.58333333,14.86666667,15.5,18.5
20.625,12.91666667,15.5,18.5
20.66666667,10.3,15.5,18.5
20.70833333,8.966666667,15.5,18.5
20.75,9.033333333,15.5,18.5
20.79166667,8.4,15.5,18.5
20.83333333,7.133333333,15.5,18.5
20.875,7.3,15.5,18.5
20.91666667,8.516666667,15.5,18.5
20.95833333,9.333333333,15.5,18.5
21,7.883333333,15.5,18.5
21.04166667,7.65,15.5,18.5
21.08333333,6.783333333,15.5,18.5
21.125,6.75,15.5,18.5
21.16666667,7.516666667,15.5,18.5
21.20833333,10.53333333,15.5,18.5
21.25,12.25,15.5,18.5
21.29166667,13.46666667,15.5,18.5
21.33333333,14.68333333,15.5,18.5
21.375,14.81666667,15.5,18.5
21.41666667,15.55,15.5,18.5
21.45833333,15.95,15.5,18.5
21.5,16.08333333,15.5,18.5
21.54166667,15.96666667,15.5,18.5
21.58333333,13.6,15.5,18.5
21.625,11.28333333,15.5,18.5
21.66666667,10.21666667,15.5,18.5
21.70833333,9.833333333,15.5,18.5
21.75,9.55,15.5,18.5
21.79166667,9.25,15.5,18.5
21.83333333,9.116666667,15.5,18.5
21.875,8.816666667,15.5,18.5
21.91666667,8.733333333,15.5,18.5
21.95833333,8.633333333,15.5,18.5
22,8.283333333,15.5,18.5
22.04166667,8.116666667,15.5,18.5
22.08333333,7.983333333,15.5,18.5
22.125,7.883333333,15.5,18.5
22.16666667,7.883333333,15.5,18.5
22.20833333,8.55,15.5,18.5
22.25,10.01666667,15.5,18.5
22.29166667,12.38333333,15.5,18.5
22.33333333,12.68333333,15.5,18.5
22.375,12.85,15.5,18.5
22.41666667,14.01666667,15.5,18.5
22.45833333,14.98333333,15.5,18.5
22.5,15.5,15.5,18.5
22.54166667,15.55,15.5,18.5
22.58333333,14.7,15.5,18.5
22.625,12.2,15.5,18.5
22.66666667,10.08333333,15.5,18.5
22.70833333,9.216666667,15.5,18.5
22.75,8.966666667,15.5,18.5
22.79166667,8.6,15.5,18.5
